output,grammaticality
we tried to amuse them that kim was singing .,No
"mary asked me if , in st. louis , john could rent a house cheap .",Yes
"mary arranged for , in st. louis , john to rent a house cheap .",No
it would be unwise for there to be no fire exit .,Yes
i believe there to be no way out .,Yes
i wonder in whom them to place their trust .,No
i wonder whom us to trust .,No
i wonder who for us to trust .,No
i wonder who to place my trust in .,Yes
i know the people that voted in the election .,Yes
i threw away a book that sandy thought we had read .,Yes
i thought that you were sick .,Yes
i dislike the people in who we placed our trust .,No
i dislike the company in which we placed our trust .,Yes
i dislike the people in whose house we stayed .,Yes
i dislike the person with whom we were talking .,Yes
"jones , that we were talking to last night , always watches football games alone .",No
a letter was received that jones would be upset by .,Yes
a letter was received jones would be upset by .,No
i saw someone yesterday i had n't seen for years .,Yes
something happened i could n't really talk about .,Yes
the only person that i like whose kids dana is willing to put up with is pat .,Yes
the book that i like which everyone else in the class hates was written by john .,Yes
the only person whose kids dana is willing to put up with was written by john .,No
the book that i like - everyone else in the class hates .,No
the only person whose kids dana is willing to put up with is pat .,Yes
which book 's author did you meet ?,Yes
which boy 's mother did you meet who you liked ?,No
which book 's author did you meet who you liked ?,No
which boy 's mother did you meet ?,Yes
all who lost money in the scam are eligible for the program .,Yes
who for sandy to talk to is still enrolled in the class ?,No
who who you like does sandy also like ?,Yes
everything you like is on the table .,Yes
the bills passed by the house yesterday that we objected to were vetoed .,Yes
the only people being added to our group who were at harvard were students .,Yes
we like ourselves .,Yes
nobody likes us .,Yes
leslie likes ourselves .,No
ourselves like ourselves .,No
she voted for herself .,Yes
we gave us presents .,No
we gave ourselves presents .,Yes
we gave presents to ourselves .,Yes
we gave us to the cause .,No
we gave ourselves to the cause .,Yes
leslie told us about us .,No
leslie told ourselves about us .,No
we think that leslie likes us .,Yes
we think that leslie likes ourselves .,No
our friends like us .,Yes
those pictures of us offended us .,Yes
we found your letter to ourselves in the trash .,No
vote for you !,No
vote for yourself !,Yes
we appeared to them to vote for themselves .,No
we admired the pictures of us in the album .,Yes
we admired the pictures of ourselves in the album .,Yes
leslie used a pen .,Yes
we put the pigs in a pen .,Yes
we need to pen the pigs to keep them from getting into the corn .,Yes
they should pen the letter quickly .,Yes
the car wo n't run .,Yes
this dye will run .,Yes
she can run an accelerator .,Yes
these stockings will run .,Yes
we need another run to win .,Yes
lee saw the student with a telescope .,Yes
i forgot how good beer tastes .,Yes
visiting relatives can be boring .,Yes
if only superman would stop flying planes !,Yes
that 's a new car dealership .,Yes
i know you like the back of my hand .,Yes
max is on the phone now .,Yes
i saw her duck .,Yes
i 'm creating a committee . kim – you 're in charge .,Yes
lights go out at ten . there will be no talking afterwards .,Yes
they found the book on the atom .,Yes
which experts testified against defendants who exposed them ?,Yes
list all experts for the defendant who represented himself .,Yes
list associates of each defendant who speaks spanish .,Yes
they lost themselves ' books .,No
some sentences go on and on and on .,Yes
sentences some go on and on and on and on .,No
that surprised me .,Yes
i noticed the .,No
they were interested in his .,Yes
this is my favorite .,Yes
a large dog chased a small cat .,Yes
some people yell at noisy dogs in my neighborhood .,Yes
some people yell at the dogs in my neighborhood .,Yes
some people yell at the dogs .,Yes
some people yell at noisy dogs .,Yes
some people yell at dogs .,Yes
some people consider the noisy dogs dangerous .,Yes
some people consider the dogs in my neighborhood dangerous .,Yes
some people consider noisy dogs in my neighborhood dangerous .,Yes
some people consider the dogs dangerous .,Yes
some people consider noisy dogs dangerous .,Yes
some people consider dogs in my neighborhood dangerous .,Yes
some people consider dogs dangerous .,Yes
people with children who use drugs should be locked up .,Yes
this disease gave leslie a fever in rome .,Yes
the love of my life and mother of my children would never do such a thing .,Yes
"most elections are quickly forgotten , but the election of 2000 , everyone will remember for a long time .",Yes
it is painting by klee or drawing by miro that the museum displays no .,No
the defendant denied the accusation .,Yes
the teacher disappeared the problem .,No
the teacher handed the student .,No
the bird sings .,Yes
the bird sing .,No
birds sings .,No
the birds give the worm a tug .,Yes
the bird give the worm a tug .,No
the birds gives the worm a tug .,No
terry delighted in my pain .,Yes
terry delighted .,No
terry delighted my pain .,No
kerry remarked it was late .,Yes
what additional categories and rules would be required to handle these verbs ?,Yes
we created a monster .,Yes
i was already aware of fact .,No
the defendant deny the allegation .,No
the defendants denies the allegation .,No
the defendant walks .,Yes
the defendant walk .,No
the defendants walks .,No
how many feature structures categories can label the first daughter ?,Yes
the child put the toy on the table .,Yes
the teacher became angry with the students .,Yes
the teacher became .,No
the jury believed the defendant lied .,Yes
the guests dined .,Yes
we relied on leslie .,Yes
we relied above leslie .,No
we celebrated in the streets .,Yes
we celebrated in the streets in the rain on tuesday in the morning .,Yes
the children are happy of ice cream .,No
the children are fond with the ice cream .,No
the children are fond that they have ice cream .,No
a magazine appeared on the newsstands .,Yes
a magazine about crime appeared on the newsstands .,Yes
newsweek appeared on the newsstands .,Yes
newsweek about crime appeared on the newsstands .,No
the report that crime was declining surprised many people .,Yes
the book surprised many people .,Yes
the book that crime was declining surprised many people .,No
the storm arrived after the picnic .,Yes
the storm arrived while the picnic .,No
the storm arrived while we ate lunch .,Yes
this dogs barked .,No
these dogs barked .,Yes
a chair was broken .,Yes
they want them arrested .,Yes
they preferred them arrested .,Yes
we preferred them on our team .,Yes
"with my parents as supportive as they are , i 'll be in fine shape .",Yes
we walks .,No
few dog barked .,No
the dogs barked .,Yes
i walk and dana runs .,Yes
they like us .,Yes
us like them .,No
kim likes dogs .,Yes
dogs like kim .,Yes
the person responsible confessed .,Yes
the person confessed responsible .,No
the cat slept soundly and furry .,No
the soundly and furry cat slept .,No
"chris walks , pat eats broccoli , and sandy plays squash .",Yes
there was some particular dog who saved every family .,Yes
susan frightens her .,Yes
susan told her a story .,Yes
susan told a story to her .,Yes
susan devoted herself to linguistics .,Yes
nobody told susan about herself .,Yes
that picture of susan offended her .,Yes
he offended sandy .,Yes
i enjoy yourself .,No
they talk to themselves .,Yes
nobody told susan .,Yes
protect yourself !,Yes
protect you !,No
i met the person who left .,Yes
leslie slept .,Yes
chris handed bo .,No
dana walked and leslie ran .,Yes
dana walking and leslie ran .,No
dana walking and leslie running .,No
the putter of books left .,No
kris donated a book to the library .,Yes
the police sprayed the protesters with water .,Yes
the police sprayed water on the protesters .,Yes
the students drove cars .,Yes
these cars drive easily .,Yes
the horse kicked me black and blue .,Yes
they yelled .,Yes
the horse raced past the barn fell .,Yes
the horse that was raced past the barn fell .,Yes
the boat seen down the river sank .,Yes
the evidence assembled by the prosecution convinced the jury .,Yes
lou forgot the umbrella .,Yes
lou forgot the umbrella in the closet .,Yes
lou hoped the umbrella was broken .,Yes
lou hoped the umbrella in the closet .,No
lou put the umbrella was broken .,No
lou put the umbrella in the closet .,Yes
the artist drew the child with a pencil .,Yes
the dog bit the cat .,Yes
the cat was bitten the mouse .,No
the cat was bitten the mouse by the dog .,No
chris was handed sandy a note by pat .,No
chris was handed a note .,Yes
chris was handed sandy a note .,No
tv puts dumb ideas in children 's heads .,Yes
dumb ideas are put in children 's heads by tv .,Yes
dumb ideas are put in children 's heads .,Yes
dumb ideas are put notions in children 's heads by tv .,No
the patient died .,Yes
the patient was died .,No
chris was handed .,No
tv puts dumb ideas .,No
he was arrested by the police .,Yes
the cat got bitten .,Yes
the cat were bitten by the dog .,No
there is a monster in loch ness .,Yes
it is obvious that pat is lying .,Yes
pat is the captain of the team .,Yes
pat is hate chris .,No
there is a unicorn in the garden .,Yes
there was a felon elected to the city council .,Yes
there is a seat available .,Yes
a seat available was in the last row .,No
many people were fond of pat .,Yes
people are looking through the window .,Yes
a felon was elected to the city council .,Yes
there loved sandy .,No
we talked to them about there .,No
it mattered that the giants had lost .,Yes
that dogs bark annoys people .,Yes
it annoys people that dogs bark .,Yes
that chris knew the answer occurred to pat .,Yes
it never occurred to pat that chris knew the answer .,Yes
that the cardinal won the game gave sandy a thrill .,Yes
it gave sandy a thrill that the cardinal won the game .,Yes
that sandy had lied suggested .,No
it loved sandy .,No
cohen proved the independence of the continuum hypothesis .,Yes
cohen proved that the continuum hypothesis was independent .,Yes
we forgot our invitations .,Yes
nobody saw pat .,Yes
that fido barks annoys me .,Yes
fido barks .,Yes
chris dreads the bucket .,Yes
the candidates bring advantage to the voters .,Yes
tabs are kept on suspected drug dealers by the fbi .,Yes
advantage is taken of every opportunity for improvement .,Yes
the bucket was kicked by pat .,Yes
john is sad .,Yes
john loaded the wagon full with hay .,Yes
john loaded the wagon with hay green .,No
i presented john with it dead .,No
of whom are you thinking ?,Yes
john became rich .,Yes
i gave john gold apples .,Yes
how silly is bill considered ?,Yes
how mad was bill made ?,Yes
john is sick .,Yes
john left singing .,Yes
john is near larry .,Yes
john gave bill the dog dead .,Yes
bill was struck by john as stupid .,No
john was struck as sick .,No
john was struck by bill 's idiocy .,Yes
john promised bill to leave .,Yes
john tried to leave .,Yes
to leave would be a pleasure .,Yes
john was struck by bill as pompous .,No
john was promised by bill to leave .,No
they make good cooks .,Yes
there is nothing to do .,Yes
john has something for bill to do .,Yes
i am counting on bill to incriminate himself .,Yes
on whom are you counting to incriminate himself ?,Yes
i am counting on bill to get there on time .,Yes
i would prefer to leave .,Yes
i would hate for john to leave .,Yes
i would prefer for john to leave .,Yes
it was hated for john to leave .,No
john decided for bill to get the prize .,No
john decided bill to get the prize .,No
to die is no fun .,Yes
john wants to leave .,Yes
john counted on bill to get there on time .,Yes
i bought bill a book to read .,Yes
john told mary that it would be important to leave early .,Yes
john told mary that it was important to fred to leave early .,Yes
"john , told mary that it would be appropriate to leave together .",Yes
the election of john president surprised me .,No
john 's arriving dead surprised me .,Yes
the attempt by john to leave surprised me .,Yes
john left orders to follow pete .,Yes
john left us orders to follow pete .,Yes
john left orders not to be disturbed .,Yes
that he is here is clear .,Yes
it is a problem that he is here .,Yes
it bothers me that he is here .,Yes
john regretted it that bill had a good time .,Yes
john believes it that bill is here .,No
john believes it sincerely that bill is here .,No
john is aware of it that bill is here .,No
john felt it that bill was tardy .,No
john believed it that bill was tardy .,No
it was believed that bill was tardy .,Yes
that john is reluctant seems .,No
it is the problem that he is here .,No
that he is here is the problem .,Yes
the problem we are discussing is george .,Yes
it is to give up to leave .,No
it would prove our theory to be untenable for carrots to be vegetables .,Yes
it was believed to be illegal by them to do that .,No
john grudgingly accepted judgments of his incompetence as an auto mechanic .,Yes
it was to john that i gave the book .,Yes
i bought it to read .,Yes
i bought it to give to pete .,Yes
i gave it to pete to take to the fair .,Yes
i gave pete the book to impress .,No
i wrote to bill .,Yes
i presented it to bill to read .,Yes
i presented bill with it to read .,No
i gave a book to bill to read .,Yes
john thinks it would upset himself to die .,Yes
john made bill mad at himself .,Yes
john made bill master of himself .,Yes
the correspondence school made bill a good typist .,Yes
the correspondence school sent bill a good typist .,Yes
john considers bill silly .,Yes
john considers bill to be silly .,Yes
john bought a dog for himself to play with .,No
john arranged for himself to get the prize .,Yes
john talked to bill about himself .,Yes
